Watershed;ID;K1;Theta1_d;K2;Theta2_d;D2;Ratio_K2K1
Aber-Benoit;J3213020;-5,41;7,67;-3,68;7,67;-1,58;1,73
Aber-Ildut;J3323020;-5,52;6,75;-3,47;7,36;-1,36;2,14
Aber-Wrach_Drennec;J3205710;-5,41;6,45;-3,68;7,67;-1,62;1,73
Aber-Wrach_Loc;J3204020;-5,31;3,7;-3,68;7,67;-1,56;1,73
Aff_Paimpont;J8602410;-6,84;4,61;-3,17;7,67;-1,1;3,67
Aff_Quelneuc;J8632410;-7,05;7,06;-3,17;7,67;-1,08;3,88
Arguenon;J1103010;-6,94;5,53;-2,86;6,45;-0,7;4,08
Aron;J7824010;-6,94;7,36;-3,07;7,67;-1,03;3,78
Arz;J8813010;-6,54;7,36;-3,58;7,36;-1,51;2,96
Aulne_Chateaulin;J3821820;-6,64;7,67;-3,37;7,36;-1,27;3,37
Aulne_Cleden;J3631810;-6,13;7,97;-3,17;6,14;-1,01;2,96
Aulne_Gouezec;J3821810;-6,54;7,67;-3,37;7,36;-1,26;3,27
Aulne_Poullaouen;J3601810;-6,74;7,97;-3,17;7,36;-1,11;3,57
Aven;J4623020;-5,52;5,84;-2,96;6,75;-0,9;2,45
Blavet_Kerien;J5202110;-5,92;6,75;-3,47;7,36;-1,39;2,45
Blavet_MurDeBretagne;J5412110;-6,13;4,31;-3,47;7,36;-1,39;2,65
Blavet_Plelauff;J5402120;-5,92;4,61;-3,37;7,36;-1,32;2,45
Canut-Nord;J7513010;-6,74;7,97;-2,96;6,75;-0,89;3,67
Canut-Sud;J7973010;-7,05;12,86;-2,96;6,75;-0,85;4,08
Careil;J7356010;-6,64;3,08;-4,9;1,86;-0,65;1,73
Chateaubriant;J7803020;-6,03;7,36;-3,07;7,06;-0,97;2,96
Chere;J7833010;-7,05;7,97;-3,07;7,67;-0,96;3,98
Cheze_Plelan;J7364220;-6,84;8,28;-2,86;4,31;-0,62;3,88
Cheze_StThurial;J7364210;-6,33;0,95;-2,86;2,169;-0,4;3,47
Claie_StJean;J8433010;-5,92;6,14;-3,07;7,06;-0,93;2,86
Claie_StMarcel;J8443010;-6,33;4;-3,37;7,67;-1,33;2,96
Coet-Organ;J5704810;-5,72;3,7;-2,86;4,31;-0,62;2,76
Don_Treffieux;J7933010;-6,94;7,97;-2,96;7,67;-0,91;3,88
Douffine;J3834010;-6,13;5,53;-3,37;5,84;-1,18;2,96
Dourduff;J2514010;-5,92;6,45;-3,37;7,36;-1,24;2,65
Douron;J2404010;-5,72;7,06;-3,47;7,06;-1,41;2,24
Elle_Arzano;J4742010;-6,03;5,84;-3,37;7,36;-1,31;2,65
Elle_Priziac;J4712010;-6,33;7,67;-3,47;7,36;-1,46;2,76
Elorn_Commana;J3403020;-5,41;7,97;-3,17;6,45;-1,03;2,24
Elorn_Plouedern;J3413030;-5,62;7,67;-3,37;7,06;-1,27;2,35
Evel;J5613010;-6,94;7,67;-3,37;7,67;-1,26;3,57
Evron;J1324010;-7,05;7,67;-3,27;7,67;-1,15;3,78
Flume;J7214010;-6,94;7,97;-3,58;7,67;-1,48;3,27
Fremeur_Guenin;J5618310;-6,03;5,84;-3,37;7,36;-1,31;2,55
Fremeur_Plumeliau;J5618320;-6,13;6,14;-3,37;7,36;-1,25;2,76
Fremur_Henanbihen;J1205410;-7,15;8,58;-3,27;7,36;-1,19;3,88
Fremur_Pleslin;J1004520;-7,05;7,67;-3,17;7,67;-1,04;3,78
Garun;J7344010;-6,74;7,67;-3,58;7,67;-1,46;3,16
Gouessant;J1313010;-6,84;7,97;-3,37;7,67;-1,28;3,47
Gouet;J1513010;-6,13;7,36;-3,47;7,36;-1,4;2,65
Goyen;J4014010;-6,03;5,53;-3,37;7,36;-1,27;2,65
Guic;J2213110;-6,33;7,67;-3,27;7,36;-1,22;3,06
Guillec;J3024010;-5,41;6,75;-3,47;7,06;-1,35;1,94
Guindy;J2034010;-5,82;6,45;-3,58;7,67;-1,5;2,24
Guyoult;J0323010;-7,15;12,56;-3,07;7,67;-1;3,98
Horn;J3014330;-5,41;4,61;-4,09;7,67;-2;1,22
Hyere_Trebivan;J3713010;-6,74;7,67;-3,37;7,36;-1,33;3,27
Hyeres;J3733010;-6,74;7,67;-3,37;7,36;-1,29;3,37
Ic;J1614010;-6,13;4,61;-3,58;7,67;-1,45;2,55
Ille;J7103010;-6,33;7,97;-3,47;7,36;-1,39;2,96
Illet;J7114010;-6,13;6,75;-3,37;5,22;-1,18;2,76
Inam;J4734010;-5,56;0,95;-2,86;0,64;0,06;2,65
Isole_Scaer;J4803010;-6,33;7,67;-3,68;7,36;-1,59;2,55
Isole_Quimperle;J4813010;-5,92;7,67;-3,37;7,36;-1,22;2,55
Jarlot_Morlaix;J2603016;-5,82;7,97;-3,27;6,75;-1,12;2,65
Jarlot_Plougonven;J2603010;-5,82;5,53;-3,47;7,36;-1,43;2,35
Jaudy;J2023010;-6,54;7,67;-3,58;7,36;-1,5;3,06
Jet;J4224010;-5,82;3,08;-3,37;7,36;-1,31;2,45
Langelin;J4214510;-6,23;7,97;-3,17;6,45;-1,07;3,06
Leff_Boqueho;J1803010;-6,13;5,84;-3,47;7,36;-1,43;2,55
Leff_Quemper;J1813010;-6,84;8,89;-2,96;7,36;-0,88;3,78
Leguer_BelleIsle;J2233010;-6,13;7,36;-3,37;7,06;-1,32;2,76
Leguer_Pluzunet;J2233020;-6,13;7,36;-3,37;7,06;-1,32;2,76
Lestolet;J5205210;-5,72;6,14;-3,58;7,67;-1,45;2,14
Lie;J8133010;-6,33;7,67;-3,58;7,06;-1,51;2,76
Loch;J6213010;-6,03;7,06;-3,47;7,36;-1,4;2,55
Loysance;J0144010;-5,82;6,45;-3,98;7,67;-1,89;1,84
Maudouve;J1524010;-6,54;6,14;-3,37;7,36;-1,31;3,16
Meu_Gael;J7313010;-7,05;8,89;-3,27;7,36;-1,21;3,67
Meu_Montfort;J7353010;-6,94;7,97;-3,27;7,67;-1,21;3,57
Mignonne;J3514010;-6,33;7,97;-3,58;6,75;-1,47;2,86
Moros;J4514010;-5,72;2,17;-3,47;7,36;-1,38;2,14
Mougau-Bihan;J3404110;-5,41;7,36;-3,37;7,36;-1,29;2,14
Nancon;J0014010;-5,62;7,36;-4,09;7,67;-2;1,63
Neal;J0626610;-6,84;8,89;-3,27;7,67;-1,22;3,57
Odet_Ergue;J4211910;-5,92;7,36;-3,37;7,06;-1,27;2,65
Odet_Quimper;J4231911;-5,92;7,06;-3,37;7,36;-1,25;2,55
Oust_Hemonstoir;J8022310;-6,23;5,53;-3,37;7,36;-1,25;3,06
Oust_Pleugriffet;J8202310;-6,74;7,97;-3,37;7,36;-1,34;3,27
Oust_StGrave;J8502310;-6,94;7,36;-3,37;7,67;-1,28;3,57
Oust_StMartin;J8002310;-6,74;7,97;-3,47;7,36;-1,38;3,16
Penze;J2723010;-5,92;6,75;-3,27;7,36;-1,22;2,65
Pont-Abbe;J4124420;-5,82;4,92;-3,47;7,36;-1,37;2,35
Queffleuth;J2614010;-5,92;5,53;-3,27;7,36;-1,23;2,65
Quilloury;J1105810;-7,25;7,67;-3,17;7,67;-1,12;3,98
Rance_Guenroc;J0621610;-6,84;7,97;-3,37;7,67;-1,27;3,47
Rance_StJouan;J0611610;-6,74;8,28;-3,68;7,67;-1,59;3,06
Rosette;J1114010;-6,94;7,67;-3,37;7,67;-1,3;3,47
Scorff;J5102210;-5,92;5,53;-3,37;7,36;-1,28;2,55
Seiche;J7483010;-7,05;7,97;-3,27;7,67;-1,22;3,67
Semnon;J7633010;-7,15;7,97;-2,86;2,48;-0,35;4,29
Serein;J7355010;-6,64;5,53;-2,86;5,22;-0,7;3,78
Steir;J4313010;-5,92;6,75;-3,27;7,36;-1,22;2,65
Styval;J4515420;-5,72;1,86;-3,47;6,75;-1,33;2,24
Trieux_StPever;J1711710;-6,13;5,53;-3,37;7,36;-1,33;2,65
Trieux_StClet;J1721720;-6,23;5,84;-3,37;7,36;-1,31;2,76
Tromorgant;J2605410;-5,82;3,7;-3,47;7,06;-1,34;2,35
Troyon;J4125720;-5,92;1,86;-3,37;6,75;-1,28;2,45
Urne;J1405310;-6,74;7,67;-3,47;7,36;-1,42;3,27
Valiere;J7024010;-6,43;8,28;-3,78;7,36;-1,45;2,76
Vaunoise;J7373110;-6,54;4,92;-3,68;7,67;-1,58;2,96
Veuvre;J7083110;-6,74;7,67;-3,17;7,06;-1,02;3,67
Yar;J2314910;-5,82;6,14;-3,47;7,36;-1,34;2,45
Yvel;J8363110;-7,05;6,75;-3,27;7,67;-1,18;3,67
